timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/26 22:13:11.313, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:11.313, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:14.314, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:14.314, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:17.315, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:17.315, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:20.316, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:20.316, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:23.316, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:23.316, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:26.317, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:26.317, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:29.318, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:29.318, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:32.318, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:32.318, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/26 22:13:35.319, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/03/26 22:13:35.319, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
