timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/27 01:22:56.395, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:22:56.395, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:22:59.396, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:22:59.396, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:02.396, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:02.397, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:05.397, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:05.397, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:08.398, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:08.398, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:11.398, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:11.399, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:14.400, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:14.400, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:17.401, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 27, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 01:23:17.401, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 30, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
