timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/05/11 16:43:48.935, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/05/11 16:43:48.935, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/05/11 16:43:51.936, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/05/11 16:43:51.936, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/05/11 16:43:54.936, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:43:54.937, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:43:57.937, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:43:57.937, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:00.938, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:00.938, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:03.938, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:03.939, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:06.939, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:06.939, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:09.940, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:09.940, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:12.940, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:12.940, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 31, 0 %, 0 %, 16384 MiB, 16156 MiB, 4 MiB
2023/05/11 16:44:15.941, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 2 %, 0 %, 16384 MiB, 15367 MiB, 793 MiB
2023/05/11 16:44:15.941, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 32, 1 %, 0 %, 16384 MiB, 15381 MiB, 779 MiB
2023/05/11 16:44:18.941, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:18.942, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:21.942, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:21.942, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:24.943, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:24.943, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:27.943, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:27.944, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 32, 100 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:30.944, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:30.944, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 100 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:33.945, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 32, 0 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:33.945, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 100 %, 0 %, 16384 MiB, 15051 MiB, 1109 MiB
2023/05/11 16:44:36.945, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 60 %, 0 %, 16384 MiB, 14831 MiB, 1329 MiB
2023/05/11 16:44:36.945, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 51 %, 0 %, 16384 MiB, 14831 MiB, 1329 MiB
2023/05/11 16:44:39.946, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 100 %, 0 %, 16384 MiB, 14831 MiB, 1329 MiB
2023/05/11 16:44:39.946, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 3 %, 0 %, 16384 MiB, 14831 MiB, 1329 MiB
2023/05/11 16:44:42.946, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 100 %, 0 %, 16384 MiB, 13439 MiB, 2721 MiB
2023/05/11 16:44:42.947, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 3 %, 0 %, 16384 MiB, 14135 MiB, 2025 MiB
2023/05/11 16:44:45.947, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 6 %, 0 %, 16384 MiB, 13411 MiB, 2749 MiB
2023/05/11 16:44:45.947, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 4 %, 0 %, 16384 MiB, 13863 MiB, 2297 MiB
2023/05/11 16:44:48.948, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:44:48.948, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:44:51.948, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:44:51.949, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:44:54.949, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:44:54.949, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:44:57.950, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:44:57.950, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:00.950, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:00.951, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:03.951, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:03.951, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:06.952, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:06.952, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:09.952, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:09.952, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:12.953, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:12.953, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:15.954, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:15.954, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:18.954, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:18.955, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:21.955, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:21.955, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:24.956, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:24.956, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:27.956, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:27.956, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:30.957, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:30.957, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:33.957, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 0 %, 0 %, 16384 MiB, 12019 MiB, 4141 MiB
2023/05/11 16:45:33.958, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 0 %, 0 %, 16384 MiB, 12471 MiB, 3689 MiB
2023/05/11 16:45:36.958, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 33, 1 %, 0 %, 16384 MiB, 11859 MiB, 4301 MiB
2023/05/11 16:45:36.958, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 34, 1 %, 0 %, 16384 MiB, 12355 MiB, 3805 MiB
2023/05/11 16:45:39.958, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 35, 61 %, 32 %, 16384 MiB, 8365 MiB, 7795 MiB
2023/05/11 16:45:39.959, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 37, 79 %, 34 %, 16384 MiB, 7367 MiB, 8793 MiB
2023/05/11 16:45:42.959, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 35, 48 %, 17 %, 16384 MiB, 9421 MiB, 6739 MiB
2023/05/11 16:45:42.959, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 36, 36 %, 15 %, 16384 MiB, 9997 MiB, 6163 MiB
2023/05/11 16:45:45.960, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 36, 57 %, 46 %, 16384 MiB, 10001 MiB, 6159 MiB
2023/05/11 16:45:45.960, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 38, 60 %, 48 %, 16384 MiB, 10495 MiB, 5665 MiB
2023/05/11 16:45:48.960, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 37, 49 %, 36 %, 16384 MiB, 6305 MiB, 9855 MiB
2023/05/11 16:45:48.961, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 38, 55 %, 44 %, 16384 MiB, 5997 MiB, 10163 MiB
2023/05/11 16:45:51.961, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 37, 33 %, 25 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:45:51.961, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 38, 36 %, 31 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:45:54.962, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 37, 42 %, 20 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:45:54.962, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 38, 17 %, 10 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:45:57.962, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 38, 48 %, 33 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:45:57.962, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 39, 50 %, 33 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:00.963, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 38, 35 %, 31 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:00.963, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 39, 26 %, 15 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:03.964, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 39, 30 %, 26 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:03.964, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 40, 40 %, 33 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:06.965, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 39, 59 %, 43 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:06.965, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 40, 61 %, 51 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:09.965, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 40, 65 %, 46 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:09.965, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 40, 56 %, 48 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:12.966, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 39, 30 %, 27 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:12.966, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 40, 37 %, 33 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:15.967, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 39, 26 %, 20 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:15.967, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 40, 28 %, 20 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:18.967, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 40, 45 %, 32 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:18.967, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 41, 40 %, 27 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:21.968, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 39, 36 %, 32 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:21.968, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 41, 35 %, 26 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:24.968, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 40, 34 %, 25 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:24.969, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 41, 24 %, 20 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:27.970, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 41, 62 %, 44 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:27.970, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 58 %, 46 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:30.970, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 41, 43 %, 30 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:30.971, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 48 %, 36 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:33.971, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 40, 29 %, 18 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:33.971, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 49 %, 39 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:36.972, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 41, 61 %, 27 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:36.972, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 86 %, 28 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:39.972, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 42, 47 %, 33 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:39.972, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 52 %, 44 %, 16384 MiB, 4609 MiB, 11551 MiB
2023/05/11 16:46:42.973, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 41, 24 %, 14 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:42.973, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 37 %, 23 %, 16384 MiB, 4597 MiB, 11563 MiB
2023/05/11 16:46:45.973, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 42, 29 %, 18 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:45.974, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 42, 20 %, 11 %, 16384 MiB, 4597 MiB, 11563 MiB
2023/05/11 16:46:48.974, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 42, 50 %, 33 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:48.974, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 52 %, 35 %, 16384 MiB, 4597 MiB, 11563 MiB
2023/05/11 16:46:51.975, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 42, 40 %, 24 %, 16384 MiB, 5101 MiB, 11059 MiB
2023/05/11 16:46:51.975, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 43, 40 %, 26 %, 16384 MiB, 4597 MiB, 11563 MiB
2023/05/11 16:46:54.976, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 42, 22 %, 17 %, 16384 MiB, 5101 MiB, 11059 MiB
