timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/04/25 11:41:53.314, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:41:53.315, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:41:56.315, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:41:56.316, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:41:59.316, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:41:59.316, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:02.317, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:02.317, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:05.317, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:05.317, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:08.318, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:08.318, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:11.318, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:11.318, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12198 MiB, 0 MiB
2023/04/25 11:42:14.319, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:14.319, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:17.319, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:17.320, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:20.320, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:20.320, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:23.320, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:23.321, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:26.321, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:26.321, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:29.321, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:29.322, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:32.322, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:32.322, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:35.323, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:35.323, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:38.323, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:38.324, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:41.324, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:41.324, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:44.324, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:44.325, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:47.325, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:47.325, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:50.326, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:50.326, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:53.326, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:53.326, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:56.327, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:56.327, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:59.327, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:42:59.327, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:02.328, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:02.328, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:05.328, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:05.328, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:08.329, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:08.329, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:11.329, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:11.330, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:14.330, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:14.330, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:17.330, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 1 %, 0 %, 12288 MiB, 11853 MiB, 345 MiB
2023/04/25 11:43:17.331, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:20.331, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 1 %, 0 %, 12288 MiB, 11617 MiB, 581 MiB
2023/04/25 11:43:20.331, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:23.332, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 11427 MiB, 771 MiB
2023/04/25 11:43:23.332, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:26.332, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 11427 MiB, 771 MiB
2023/04/25 11:43:26.332, Tesla P100-PCIE-12GB, 00000000:82:00.0, 510.39.01, 29, 0 %, 0 %, 12288 MiB, 12196 MiB, 2 MiB
2023/04/25 11:43:29.333, Tesla P100-PCIE-12GB, 00000000:02:00.0, 510.39.01, 28, 0 %, 0 %, 12288 MiB, 11427 MiB, 771 MiB
